Replicate,Exposure Date,Structure,P_Level,Start_Small,Start_Med,Start_Large,Infec_Small,Infec_Med,Infec_Large,Dead_Small,Dead_Med,Dead_Large,D_Small,D_Med,D_Large
1,3/25/21,Uniform Small,2,18,0,0,5,0,0,3,0,0,15,0,0
2,3/25/21,Uniform Small,8,18,0,0,12,0,0,3,0,0,15,0,0
3,3/25/21,Uniform Small,14,18,0,0,14,0,0,2,0,0,16,0,0
4,3/25/21,Uniform Medium,2,0,18,0,0,8,0,0,3,0,0,15,0
5,3/25/21,Uniform Medium,8,0,18,0,0,8,0,0,1,0,0,17,0
6,3/25/21,Uniform Medium,14,0,18,0,0,9,0,0,2,0,0,16,0
7,3/25/21,Uniform Large,2,0,0,18,0,0,4,0,0,0,0,0,18
8,3/25/21,Uniform Large,8,0,0,18,0,0,7,0,0,1,0,0,17
9,3/25/21,Uniform Large,14,0,0,18,0,0,7,0,0,0,0,0,18
10,3/25/21,Equal,2,6,6,6,0,0,2,0,0,0,6,6,6
11,3/25/21,Equal,8,6,6,6,0,3,2,0,1,0,6,5,6
12,3/25/21,Equal,14,6,6,6,2,2,6,0,0,0,6,6,6
13,3/25/21,Small Skewed,2,12,3,3,5,0,0,0,0,0,12,3,3
14,3/25/21,Small Skewed,8,12,3,3,5,1,3,0,0,0,12,3,3
15,3/25/21,Small Skewed,14,12,3,3,11,2,1,0,0,0,12,3,3
16,9/24/21,Uniform Small,2,18,0,0,3,0,0,0,0,0,18,0,0
17,9/24/21,Uniform Small,8,18,0,0,12,0,0,1,0,0,17,0,0
18,9/24/21,Uniform Small,14,18,0,0,13,0,0,2,0,0,16,0,0
19,9/24/21,Uniform Medium,2,0,18,0,0,0,0,0,1,0,0,17,0
20,9/24/21,Uniform Medium,8,0,18,0,0,3,0,0,1,0,0,17,0
21,9/24/21,Uniform Medium,14,0,18,0,0,11,0,0,2,0,0,16,0
22,9/24/21,Uniform Large,2,0,0,18,0,0,0,0,0,0,0,0,18
23,9/24/21,Uniform Large,8,0,0,18,0,0,7,0,0,0,0,0,18
24,9/24/21,Uniform Large,14,0,0,18,0,0,6,0,0,1,0,0,17
25,9/24/21,Equal,2,6,6,6,0,1,1,0,0,0,6,6,6
26,9/24/21,Equal,8,6,6,6,2,2,2,1,0,0,5,6,6
27,9/24/21,Equal,14,6,6,6,1,4,2,1,0,0,5,6,6
28,9/24/21,Small Skewed,2,12,3,3,0,2,0,1,0,1,11,3,2
29,9/24/21,Small Skewed,8,12,3,3,5,2,0,0,0,1,12,3,2
30,9/24/21,Small Skewed,14,12,3,3,5,2,1,4,0,0,8,3,3
31,10/19/21,Uniform Small,2,18,0,0,4,0,0,0,0,0,18,0,0
32,10/19/21,Uniform Small,8,18,0,0,11,0,0,1,0,0,17,0,0
33,10/19/21,Uniform Small,14,18,0,0,8,0,0,8,0,0,10,0,0
34,10/19/21,Uniform Medium,2,0,18,0,0,4,0,0,6,0,0,12,0
35,10/19/21,Uniform Medium,8,0,18,0,0,8,0,0,4,0,0,14,0
36,10/19/21,Uniform Medium,14,0,18,0,0,13,0,0,0,0,0,18,0
37,10/19/21,Uniform Large,2,0,0,18,0,0,1,0,0,1,0,0,17
38,10/19/21,Uniform Large,8,0,0,18,0,0,4,0,0,1,0,0,17
39,10/19/21,Uniform Large,14,0,0,18,0,0,6,0,0,1,0,0,17
40,10/19/21,Equal,2,6,6,6,0,2,0,0,0,0,6,6,6
41,10/19/21,Equal,8,6,6,6,3,3,0,0,0,0,6,6,6
42,10/19/21,Equal,14,6,6,6,3,2,3,0,0,1,6,6,5
43,10/19/21,Small Skewed,2,12,3,3,4,0,1,0,0,0,12,3,3
44,10/19/21,Small Skewed,8,12,3,3,5,2,2,3,0,0,9,3,3
45,10/19/21,Small Skewed,14,12,3,3,6,0,2,1,0,1,11,3,2
46,11/9/21,Uniform Small,2,18,0,0,12,0,0,2,0,0,16,0,0
47,11/9/21,Uniform Small,8,18,0,0,10,0,0,2,0,0,16,0,0
48,11/9/21,Uniform Small,14,18,0,0,13,0,0,2,0,0,16,0,0
49,11/9/21,Uniform Medium,2,0,18,0,0,7,0,0,1,0,0,17,0
50,11/9/21,Uniform Medium,8,0,18,0,0,0,0,0,0,0,0,18,0
51,11/9/21,Uniform Medium,14,0,18,0,0,0,0,0,0,0,0,18,0
52,11/9/21,Uniform Large,2,0,0,18,0,0,4,0,0,0,0,0,18
53,11/9/21,Uniform Large,8,0,0,18,0,0,5,0,0,0,0,0,18
54,11/9/21,Uniform Large,14,0,0,18,0,0,2,0,0,3,0,0,15
55,11/9/21,Equal,2,6,6,6,1,1,1,0,0,0,6,6,6
56,11/9/21,Equal,8,6,6,6,4,2,2,0,0,0,6,6,6
57,11/9/21,Equal,14,6,6,6,4,6,4,0,0,0,6,6,6
58,11/9/21,Small Skewed,2,12,3,3,6,0,1,0,0,0,12,3,3
59,11/9/21,Small Skewed,8,12,3,3,9,1,1,0,0,0,12,3,3
60,11/9/21,Small Skewed,14,12,3,3,10,2,2,0,0,0,12,3,3
