Replicate,Batch,Exposure Date,P_Level,Infected,,,,,,,,,,,,,,,
1,A,3/25/21,2,0,,,,,,,,,,,,,,,
2,A,3/25/21,2,0,,,,,,,,,,,,,,,
3,A,3/25/21,2,0,,,,,,,,,,,,,,,
4,A,3/25/21,2,0,,,,,,,,,,,,,,,
5,A,3/25/21,2,0,,,,,,,,,,,,,,,
6,A,3/25/21,2,0,,,,,,,,,,,,,,,
7,A,3/25/21,2,0,,,,,,,,,,,,,,,
8,A,3/25/21,2,0,,,,,,,,,,,,,,,
9,A,3/25/21,2,0,,,,,,,,,,,,,,,
10,A,3/25/21,2,0,,,,,,,,,,,,,,,
11,A,3/25/21,2,0,,,,,,,,,,,,,,,
12,A,3/25/21,2,0,,,,,,,,,,,,,,,
13,A,3/25/21,2,0,,,,,,,,,,,,,,,
14,A,3/25/21,2,0,,,,,,,,,,,,,,,
15,A,3/25/21,2,0,,,,,,,,,,,,,,,
16,A,3/25/21,2,0,,,,,,,,,,,,,,,
17,A,3/25/21,8,1,,,,,,,,,,,,,,,
18,A,3/25/21,8,1,,,,,,,,,,,,,,,
19,A,3/25/21,8,1,,,,,,,,,,,,,,,
20,A,3/25/21,8,1,,,,,,,,,,,,,,,
21,A,3/25/21,8,1,,,,,,,,,,,,,,,
22,A,3/25/21,8,1,,,,,,,,,,,,,,,
23,A,3/25/21,8,1,,,,,,,,,,,,,,,
24,A,3/25/21,8,1,,,,,,,,,,,,,,,
25,A,3/25/21,8,0,,,,,,,,,,,,,,,
26,A,3/25/21,8,0,,,,,,,,,,,,,,,
27,A,3/25/21,8,0,,,,,,,,,,,,,,,
28,A,3/25/21,8,0,,,,,,,,,,,,,,,
29,A,3/25/21,8,0,,,,,,,,,,,,,,,
30,A,3/25/21,8,0,,,,,,,,,,,,,,,
31,A,3/25/21,8,0,,,,,,,,,,,,,,,
32,A,3/25/21,8,0,,,,,,,,,,,,,,,
33,A,3/25/21,8,0,,,,,,,,,,,,,,,
34,A,3/25/21,14,1,,,,,,,,,,,,,,,
35,A,3/25/21,14,1,,,,,,,,,,,,,,,
36,A,3/25/21,14,1,,,,,,,,,,,,,,,
37,A,3/25/21,14,1,,,,,,,,,,,,,,,
38,A,3/25/21,14,1,,,,,,,,,,,,,,,
39,A,3/25/21,14,1,,,,,,,,,,,,,,,
40,A,3/25/21,14,1,,,,,,,,,,,,,,,
41,A,3/25/21,14,1,,,,,,,,,,,,,,,
42,A,3/25/21,14,1,,,,,,,,,,,,,,,
43,A,3/25/21,14,1,,,,,,,,,,,,,,,
44,A,3/25/21,14,1,,,,,,,,,,,,,,,
45,A,3/25/21,14,1,,,,,,,,,,,,,,,
46,A,3/25/21,14,1,,,,,,,,,,,,,,,
47,A,3/25/21,14,0,,,,,,,,,,,,,,,
48,A,3/25/21,14,0,,,,,,,,,,,,,,,
49,A,3/25/21,14,0,,,,,,,,,,,,,,,
50,A,3/25/21,14,0,,,,,,,,,,,,,,,
51,A,3/25/21,14,0,,,,,,,,,,,,,,,
52,B,9/24/21,2,1,,,,,,,,,,,,,,,
53,B,9/24/21,2,1,,,,,,,,,,,,,,,
54,B,9/24/21,2,1,,,,,,,,,,,,,,,
55,B,9/24/21,2,1,,,,,,,,,,,,,,,
56,B,9/24/21,2,1,,,,,,,,,,,,,,,
57,B,9/24/21,2,1,,,,,,,,,,,,,,,
58,B,9/24/21,2,1,,,,,,,,,,,,,,,
59,B,9/24/21,2,1,,,,,,,,,,,,,,,
60,B,9/24/21,2,1,,,,,,,,,,,,,,,
61,B,9/24/21,2,0,,,,,,,,,,,,,,,
62,B,9/24/21,2,0,,,,,,,,,,,,,,,
63,B,9/24/21,2,0,,,,,,,,,,,,,,,
64,B,9/24/21,2,0,,,,,,,,,,,,,,,
65,B,9/24/21,2,0,,,,,,,,,,,,,,,
66,B,9/24/21,2,0,,,,,,,,,,,,,,,
67,B,9/24/21,2,0,,,,,,,,,,,,,,,
68,B,9/24/21,2,0,,,,,,,,,,,,,,,
69,B,9/24/21,8,1,,,,,,,,,,,,,,,
70,B,9/24/21,8,1,,,,,,,,,,,,,,,
71,B,9/24/21,8,1,,,,,,,,,,,,,,,
72,B,9/24/21,8,1,,,,,,,,,,,,,,,
73,B,9/24/21,8,0,,,,,,,,,,,,,,,
74,B,9/24/21,8,0,,,,,,,,,,,,,,,
75,B,9/24/21,8,0,,,,,,,,,,,,,,,
76,B,9/24/21,8,0,,,,,,,,,,,,,,,
77,B,9/24/21,8,0,,,,,,,,,,,,,,,
78,B,9/24/21,8,0,,,,,,,,,,,,,,,
79,B,9/24/21,8,0,,,,,,,,,,,,,,,
80,B,9/24/21,8,0,,,,,,,,,,,,,,,
81,B,9/24/21,8,0,,,,,,,,,,,,,,,
82,B,9/24/21,8,0,,,,,,,,,,,,,,,
83,B,9/24/21,8,0,,,,,,,,,,,,,,,
84,B,9/24/21,8,0,,,,,,,,,,,,,,,
85,B,9/24/21,8,0,,,,,,,,,,,,,,,
86,B,9/24/21,14,1,,,,,,,,,,,,,,,
87,B,9/24/21,14,1,,,,,,,,,,,,,,,
88,B,9/24/21,14,1,,,,,,,,,,,,,,,
89,B,9/24/21,14,1,,,,,,,,,,,,,,,
90,B,9/24/21,14,1,,,,,,,,,,,,,,,
91,B,9/24/21,14,1,,,,,,,,,,,,,,,
92,B,9/24/21,14,1,,,,,,,,,,,,,,,
93,B,9/24/21,14,1,,,,,,,,,,,,,,,
94,B,9/24/21,14,1,,,,,,,,,,,,,,,
95,B,9/24/21,14,1,,,,,,,,,,,,,,,
96,B,9/24/21,14,0,,,,,,,,,,,,,,,
97,B,9/24/21,14,0,,,,,,,,,,,,,,,
98,B,9/24/21,14,0,,,,,,,,,,,,,,,
99,B,9/24/21,14,0,,,,,,,,,,,,,,,
100,B,9/24/21,14,0,,,,,,,,,,,,,,,
101,B,9/24/21,14,0,,,,,,,,,,,,,,,
102,C,10/19/21,2,1,,,,,,,,,,,,,,,
103,C,10/19/21,2,1,,,,,,,,,,,,,,,
104,C,10/19/21,2,1,,,,,,,,,,,,,,,
105,C,10/19/21,2,1,,,,,,,,,,,,,,,
106,C,10/19/21,2,1,,,,,,,,,,,,,,,
107,C,10/19/21,2,1,,,,,,,,,,,,,,,
108,C,10/19/21,2,1,,,,,,,,,,,,,,,
109,C,10/19/21,2,0,,,,,,,,,,,,,,,
110,C,10/19/21,2,0,,,,,,,,,,,,,,,
111,C,10/19/21,2,0,,,,,,,,,,,,,,,
112,C,10/19/21,2,0,,,,,,,,,,,,,,,
113,C,10/19/21,2,0,,,,,,,,,,,,,,,
114,C,10/19/21,2,0,,,,,,,,,,,,,,,
115,C,10/19/21,2,0,,,,,,,,,,,,,,,
116,C,10/19/21,2,0,,,,,,,,,,,,,,,
117,C,10/19/21,2,0,,,,,,,,,,,,,,,
118,C,10/19/21,2,0,,,,,,,,,,,,,,,
119,C,10/19/21,8,1,,,,,,,,,,,,,,,
120,C,10/19/21,8,1,,,,,,,,,,,,,,,
121,C,10/19/21,8,1,,,,,,,,,,,,,,,
122,C,10/19/21,8,1,,,,,,,,,,,,,,,
123,C,10/19/21,8,1,,,,,,,,,,,,,,,
124,C,10/19/21,8,1,,,,,,,,,,,,,,,
125,C,10/19/21,8,1,,,,,,,,,,,,,,,
126,C,10/19/21,8,1,,,,,,,,,,,,,,,
127,C,10/19/21,8,1,,,,,,,,,,,,,,,
128,C,10/19/21,8,1,,,,,,,,,,,,,,,
129,C,10/19/21,8,1,,,,,,,,,,,,,,,
130,C,10/19/21,8,1,,,,,,,,,,,,,,,
131,C,10/19/21,8,1,,,,,,,,,,,,,,,
132,C,10/19/21,8,1,,,,,,,,,,,,,,,
133,C,10/19/21,8,1,,,,,,,,,,,,,,,
134,C,10/19/21,8,0,,,,,,,,,,,,,,,
135,C,10/19/21,14,1,,,,,,,,,,,,,,,
136,C,10/19/21,14,1,,,,,,,,,,,,,,,
137,C,10/19/21,14,1,,,,,,,,,,,,,,,
138,C,10/19/21,14,1,,,,,,,,,,,,,,,
139,C,10/19/21,14,1,,,,,,,,,,,,,,,
140,C,10/19/21,14,1,,,,,,,,,,,,,,,
141,C,10/19/21,14,1,,,,,,,,,,,,,,,
142,C,10/19/21,14,1,,,,,,,,,,,,,,,
143,C,10/19/21,14,1,,,,,,,,,,,,,,,
144,C,10/19/21,14,1,,,,,,,,,,,,,,,
145,C,10/19/21,14,1,,,,,,,,,,,,,,,
146,C,10/19/21,14,1,,,,,,,,,,,,,,,
147,C,10/19/21,14,1,,,,,,,,,,,,,,,
148,C,10/19/21,14,1,,,,,,,,,,,,,,,
149,C,10/19/21,14,1,,,,,,,,,,,,,,,
150,C,10/19/21,14,1,,,,,,,,,,,,,,,
151,C,10/19/21,14,0,,,,,,,,,,,,,,,
152,C,10/19/21,14,0,,,,,,,,,,,,,,,
153,D,11/9/21,2,1,,,,,,,,,,,,,,,
154,D,11/9/21,2,1,,,,,,,,,,,,,,,
155,D,11/9/21,2,1,,,,,,,,,,,,,,,
