SnailID,Size,Infected,Miracidia
2MP1.2,1.324,1,2
2MP1.3,1.669,1,2
2MP1.4,1.596,1,2
2MP1.5,2.245,1,2
2MP1.6,1.473,1,2
2MP1.7,0.875,1,2
2MP1.8,2.119,1,2
2MP1.9,2.321,1,2
2MP1.10,2.219,1,2
2MP1.11,2.25,1,2
2MP1.12,1.457,1,2
2MP1.13,1.443,1,2
2MP1.14,1.667,0,2
2MP1.15,1.653,1,2
2MP1.16,1.946,0,2
2MP1.18,2.334,1,2
2MP1.19,1.08,1,2
2MP1.20,1.525,0,2
2MP1.21,1.312,1,2
2MP1.22,2.143,0,2
2MP1.23,0.869,1,2
2MP1.24,1.028,1,2
6MP2.1,1.222,1,6
6MP2.2,1.42,1,6
6MP2.3,1.718,1,6
6MP2.4,2.022,0,6
6MP2.5,1.531,1,6
6MP2.6,1.452,1,6
6MP2.9,1.788,1,6
6MP2.10,1.739,1,6
6MP2.11,1.759,1,6
6MP2.12,2.704,1,6
6MP2.13,1.303,1,6
6MP2.16,1.186,1,6
6MP2.17,1.542,1,6
6MP2.18,1.379,1,6
6MP2.19,1.399,1,6
6MP2.20,1.932,1,6
6MP2.21,2.363,1,6
6MP2.22,1.743,1,6
6MP2.23,0.929,1,6
6MP2.24,2.215,1,6
2MP3.1,1.419,1,2
2MP3.4,1.586,0,2
2MP3.5,1.316,1,2
2MP3.6,1.636,0,2
2MP3.9,0.974,1,2
2MP3.10,1.051,1,2
2MP3.11,1.728,1,2
2MP3.12,5.505,1,2
2MP3.13,5.443,1,2
2MP3.14,5.215,0,2
2MP3.15,5.183,1,2
2MP3.16,5.999,0,2
2MP3.17,4.23,1,2
2MP3.18,3.964,0,2
2MP3.19,4.065,1,2
2MP3.20,4.056,1,2
2MP3.21,3.906,0,2
2MP3.22,3.759,1,2
2MP3.23,4.251,0,2
2MP3.24,3.77,1,2
6MP4.1,1.124,1,6
6MP4.2,1.433,1,6
6MP4.7,1.973,1,6
6MP4.8,2.542,1,6
6MP4.9,1.132,1,6
6MP4.10,1.632,1,6
6MP4.11,1.659,1,6
6MP4.13,3.337,1,6
6MP4.15,3.551,1,6
6MP4.16,3.088,1,6
6MP4.17,4.07,0,6
6MP4.18,2.697,1,6
6MP4.19,2.764,1,6
6MP4.20,4.687,1,6
6MP4.21,4.248,1,6
6MP4.22,5.59,0,6
6MP4.23,3.889,1,6
6MP4.24,4.057,1,6
2MP5.1,3.213,0,2
2MP5.2,4.673,0,2
2MP5.3,3.765,1,2
2MP5.4,4.075,1,2
2MP5.5,5.949,0,2
2MP5.6,2.884,1,2
2MP5.7,3.562,1,2
