"Structure","P_Level","N_S","N_M","N_L"
"Uniform Small",0,0,0,0
"Uniform Medium",0,0,0,0
"Uniform Large",0,0,0,0
"Equal",0,0,0,0
"Small Skewed",0,0,0,0
"Uniform Small",1,0,0,0
"Uniform Medium",1,0,0,0
"Uniform Large",1,0,0,0
"Equal",1,0,0,0
"Small Skewed",1,0,0,0
"Uniform Small",2,0,0,0
"Uniform Medium",2,0,0,0
"Uniform Large",2,0,0,0
"Equal",2,0,0,0
"Small Skewed",2,0,0,0
"Uniform Small",3,0,0,0
"Uniform Medium",3,0,0,0
"Uniform Large",3,0,0,0
"Equal",3,0,0,0
"Small Skewed",3,0,0,0
"Uniform Small",4,0,0,0
"Uniform Medium",4,0,0,0
"Uniform Large",4,0,0,0
"Equal",4,0,0,0
"Small Skewed",4,0,0,0
"Uniform Small",5,0,0,0
"Uniform Medium",5,0,0,0
"Uniform Large",5,0,0,0
"Equal",5,0,0,0
"Small Skewed",5,0,0,0
"Uniform Small",6,0,0,0
"Uniform Medium",6,0,0,0
"Uniform Large",6,0,0,0
"Equal",6,0,0,0
"Small Skewed",6,0,0,0
"Uniform Small",7,0,0,0
"Uniform Medium",7,0,0,0
"Uniform Large",7,0,0,0
"Equal",7,0,0,0
"Small Skewed",7,0,0,0
"Uniform Small",8,0,0,0
"Uniform Medium",8,0,0,0
"Uniform Large",8,0,0,0
"Equal",8,0,0,0
"Small Skewed",8,0,0,0
"Uniform Small",9,0,0,0
"Uniform Medium",9,0,0,0
"Uniform Large",9,0,0,0
"Equal",9,0,0,0
"Small Skewed",9,0,0,0
"Uniform Small",10,0,0,0
"Uniform Medium",10,0,0,0
"Uniform Large",10,0,0,0
"Equal",10,0,0,0
"Small Skewed",10,0,0,0
"Uniform Small",11,0,0,0
"Uniform Medium",11,0,0,0
"Uniform Large",11,0,0,0
"Equal",11,0,0,0
"Small Skewed",11,0,0,0
"Uniform Small",12,0,0,0
"Uniform Medium",12,0,0,0
"Uniform Large",12,0,0,0
"Equal",12,0,0,0
"Small Skewed",12,0,0,0
"Uniform Small",13,0,0,0
"Uniform Medium",13,0,0,0
"Uniform Large",13,0,0,0
"Equal",13,0,0,0
"Small Skewed",13,0,0,0
"Uniform Small",14,0,0,0
"Uniform Medium",14,0,0,0
"Uniform Large",14,0,0,0
"Equal",14,0,0,0
"Small Skewed",14,0,0,0
"Uniform Small",15,0,0,0
"Uniform Medium",15,0,0,0
"Uniform Large",15,0,0,0
"Equal",15,0,0,0
"Small Skewed",15,0,0,0
"Uniform Small",16,0,0,0
"Uniform Medium",16,0,0,0
"Uniform Large",16,0,0,0
"Equal",16,0,0,0
"Small Skewed",16,0,0,0
"Uniform Small",17,0,0,0
"Uniform Medium",17,0,0,0
"Uniform Large",17,0,0,0
"Equal",17,0,0,0
"Small Skewed",17,0,0,0
"Uniform Small",18,0,0,0
"Uniform Medium",18,0,0,0
"Uniform Large",18,0,0,0
"Equal",18,0,0,0
"Small Skewed",18,0,0,0
"Uniform Small",19,0,0,0
"Uniform Medium",19,0,0,0
"Uniform Large",19,0,0,0
"Equal",19,0,0,0
"Small Skewed",19,0,0,0
"Uniform Small",20,0,0,0
"Uniform Medium",20,0,0,0
"Uniform Large",20,0,0,0
"Equal",20,0,0,0
"Small Skewed",20,0,0,0
"Uniform Small",21,0,0,0
